case,event,startTime,completeTime
0,A,2019/01/10 08:00:00.000,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000,2019/01/10 08:20:00.000
0,B,2019/01/10 08:31:51.578,2019/01/10 08:31:51.578
2,A,2019/01/10 08:40:00.000,2019/01/10 08:40:00.000
1,F,2019/01/10 08:49:26.240,2019/01/10 08:49:26.240
3,A,2019/01/10 09:00:00.000,2019/01/10 09:00:00.000
0,C,2019/01/10 09:01:18.981,2019/01/10 09:01:18.981
2,F,2019/01/10 09:11:41.225,2019/01/10 09:11:41.225
1,D,2019/01/10 09:19:25.884,2019/01/10 09:19:25.884
4,A,2019/01/10 09:20:00.000,2019/01/10 09:20:00.000
0,A,2019/01/10 09:23:40.094,2019/01/10 09:23:40.094
3,F,2019/01/10 09:26:39.868,2019/01/10 09:26:39.868
5,A,2019/01/10 09:40:00.000,2019/01/10 09:40:00.000
2,D,2019/01/10 09:42:03.797,2019/01/10 09:42:03.797
4,F,2019/01/10 09:46:04.312,2019/01/10 09:46:04.312
1,E,2019/01/10 09:46:25.418,2019/01/10 09:46:25.418
3,D,2019/01/10 09:52:45.172,2019/01/10 09:52:45.172
0,F,2019/01/10 09:56:56.638,2019/01/10 09:56:56.638
6,A,2019/01/10 10:00:00.000,2019/01/10 10:00:00.000
5,B,2019/01/10 10:03:03.307,2019/01/10 10:03:03.307
2,E,2019/01/10 10:06:52.630,2019/01/10 10:06:52.630
1,G,2019/01/10 10:13:53.997,2019/01/10 10:13:53.997
4,D,2019/01/10 10:14:05.363,2019/01/10 10:14:05.363
7,A,2019/01/10 10:20:00.000,2019/01/10 10:20:00.000
3,E,2019/01/10 10:23:04.658,2019/01/10 10:23:04.658
0,D,2019/01/10 10:29:49.751,2019/01/10 10:29:49.751
5,C,2019/01/10 10:33:04.946,2019/01/10 10:33:04.946
6,F,2019/01/10 10:33:27.049,2019/01/10 10:33:27.049
2,G,2019/01/10 10:37:53.307,2019/01/10 10:37:53.307
8,A,2019/01/10 10:40:00.000,2019/01/10 10:40:00.000
4,E,2019/01/10 10:45:05.836,2019/01/10 10:45:05.836
1,I,2019/01/10 10:48:43.974,2019/01/10 10:48:43.974
3,G,2019/01/10 10:49:46.812,2019/01/10 10:49:46.812
7,F,2019/01/10 10:50:59.833,2019/01/10 10:50:59.833
0,E,2019/01/10 10:58:27.573,2019/01/10 10:58:27.573
9,A,2019/01/10 11:00:00.000,2019/01/10 11:00:00.000
6,D,2019/01/10 11:02:23.663,2019/01/10 11:02:23.663
5,A,2019/01/10 11:03:15.408,2019/01/10 11:03:15.408
2,H,2019/01/10 11:08:18.508,2019/01/10 11:08:18.508
8,B,2019/01/10 11:08:55.818,2019/01/10 11:08:55.818
4,G,2019/01/10 11:09:48.079,2019/01/10 11:09:48.079
3,H,2019/01/10 11:18:06.109,2019/01/10 11:18:06.109
10,A,2019/01/10 11:20:00.000,2019/01/10 11:20:00.000
1,J,2019/01/10 11:23:40.598,2019/01/10 11:23:40.598
7,D,2019/01/10 11:25:09.345,2019/01/10 11:25:09.345
0,G,2019/01/10 11:26:12.983,2019/01/10 11:26:12.983
6,E,2019/01/10 11:33:46.972,2019/01/10 11:33:46.972
9,F,2019/01/10 11:35:18.092,2019/01/10 11:35:18.092
5,B,2019/01/10 11:37:24.378,2019/01/10 11:37:24.378
4,I,2019/01/10 11:38:59.893,2019/01/10 11:38:59.893
11,A,2019/01/10 11:40:00.000,2019/01/10 11:40:00.000
8,C,2019/01/10 11:41:32.129,2019/01/10 11:41:32.129
1,K,2019/01/10 11:52:50.045,2019/01/10 11:52:50.045
7,E,2019/01/10 11:53:50.444,2019/01/10 11:53:50.444
0,I,2019/01/10 11:55:33.449,2019/01/10 11:55:33.449
10,F,2019/01/10 11:57:51.035,2019/01/10 11:57:51.035
12,A,2019/01/10 12:00:00.000,2019/01/10 12:00:00.000
6,G,2019/01/10 12:00:34.559,2019/01/10 12:00:34.559
9,D,2019/01/10 12:02:53.439,2019/01/10 12:02:53.439
4,J,2019/01/10 12:07:01.631,2019/01/10 12:07:01.631
5,C,2019/01/10 12:09:10.510,2019/01/10 12:09:10.510
8,A,2019/01/10 12:09:15.452,2019/01/10 12:09:15.452
11,B,2019/01/10 12:09:39.899,2019/01/10 12:09:39.899
13,A,2019/01/10 12:20:00.000,2019/01/10 12:20:00.000
1,M,2019/01/10 12:24:00.730,2019/01/10 12:24:00.730
7,G,2019/01/10 12:27:14.678,2019/01/10 12:27:14.678
0,J,2019/01/10 12:27:52.117,2019/01/10 12:27:52.117
12,B,2019/01/10 12:29:19.201,2019/01/10 12:29:19.201
6,H,2019/01/10 12:29:35.542,2019/01/10 12:29:35.542
10,D,2019/01/10 12:30:37.600,2019/01/10 12:30:37.600
8,F,2019/01/10 12:34:31.356,2019/01/10 12:34:31.356
9,E,2019/01/10 12:36:05.100,2019/01/10 12:36:05.100
5,A,2019/01/10 12:38:49.401,2019/01/10 12:38:49.401
14,A,2019/01/10 12:40:00.000,2019/01/10 12:40:00.000
11,C,2019/01/10 12:40:34.628,2019/01/10 12:40:34.628
4,L,2019/01/10 12:41:11.024,2019/01/10 12:41:11.024
13,B,2019/01/10 12:49:34.595,2019/01/10 12:49:34.595
1,N,2019/01/10 12:57:17.664,2019/01/10 12:57:17.664
7,I,2019/01/10 12:58:17.710,2019/01/10 12:58:17.710
12,C,2019/01/10 12:58:29.103,2019/01/10 12:58:29.103
8,D,2019/01/10 12:58:58.935,2019/01/10 12:58:58.935
10,E,2019/01/10 12:59:02.980,2019/01/10 12:59:02.980
15,A,2019/01/10 13:00:00.000,2019/01/10 13:00:00.000
0,K,2019/01/10 13:00:11.571,2019/01/10 13:00:11.571
9,G,2019/01/10 13:01:08.663,2019/01/10 13:01:08.663
14,F,2019/01/10 13:08:19.775,2019/01/10 13:08:19.775
4,M,2019/01/10 13:09:28.150,2019/01/10 13:09:28.150
11,A,2019/01/10 13:10:39.903,2019/01/10 13:10:39.903
5,B,2019/01/10 13:11:09.419,2019/01/10 13:11:09.419
16,A,2019/01/10 13:20:00.000,2019/01/10 13:20:00.000
13,C,2019/01/10 13:20:11.953,2019/01/10 13:20:11.953
10,G,2019/01/10 13:28:54.662,2019/01/10 13:28:54.662
0,M,2019/01/10 13:28:56.037,2019/01/10 13:28:56.037
8,E,2019/01/10 13:29:11.422,2019/01/10 13:29:11.422
7,J,2019/01/10 13:30:38.686,2019/01/10 13:30:38.686
12,A,2019/01/10 13:31:38.434,2019/01/10 13:31:38.434
9,I,2019/01/10 13:32:32.137,2019/01/10 13:32:32.137
15,B,2019/01/10 13:32:49.909,2019/01/10 13:32:49.909
14,D,2019/01/10 13:38:39.833,2019/01/10 13:38:39.833
17,A,2019/01/10 13:40:00.000,2019/01/10 13:40:00.000
4,N,2019/01/10 13:40:57.550,2019/01/10 13:40:57.550
11,B,2019/01/10 13:42:30.764,2019/01/10 13:42:30.764
5,C,2019/01/10 13:45:25.287,2019/01/10 13:45:25.287
13,A,2019/01/10 13:48:38.395,2019/01/10 13:48:38.395
16,B,2019/01/10 13:48:56.278,2019/01/10 13:48:56.278
0,N,2019/01/10 13:56:14.288,2019/01/10 13:56:14.288
9,J,2019/01/10 13:58:40.680,2019/01/10 13:58:40.680
18,A,2019/01/10 14:00:00.000,2019/01/10 14:00:00.000
10,I,2019/01/10 14:00:55.749,2019/01/10 14:00:55.749
15,C,2019/01/10 14:03:21.628,2019/01/10 14:03:21.628
7,K,2019/01/10 14:03:42.275,2019/01/10 14:03:42.275
12,B,2019/01/10 14:05:18.492,2019/01/10 14:05:18.492
8,G,2019/01/10 14:07:40.853,2019/01/10 14:07:40.853
14,E,2019/01/10 14:09:35.262,2019/01/10 14:09:35.262
16,C,2019/01/10 14:10:25.944,2019/01/10 14:10:25.944
11,C,2019/01/10 14:12:48.659,2019/01/10 14:12:48.659
17,B,2019/01/10 14:13:50.082,2019/01/10 14:13:50.082
13,B,2019/01/10 14:18:15.130,2019/01/10 14:18:15.130
19,A,2019/01/10 14:20:00.000,2019/01/10 14:20:00.000
5,A,2019/01/10 14:20:00.276,2019/01/10 14:20:00.276
18,F,2019/01/10 14:29:43.541,2019/01/10 14:29:43.541
10,J,2019/01/10 14:29:55.943,2019/01/10 14:29:55.943
9,L,2019/01/10 14:30:39.194,2019/01/10 14:30:39.194
7,M,2019/01/10 14:33:20.421,2019/01/10 14:33:20.421
15,A,2019/01/10 14:36:20.956,2019/01/10 14:36:20.956
8,I,2019/01/10 14:36:45.462,2019/01/10 14:36:45.462
14,G,2019/01/10 14:37:43.378,2019/01/10 14:37:43.378
12,C,2019/01/10 14:38:15.355,2019/01/10 14:38:15.355
11,A,2019/01/10 14:38:50.599,2019/01/10 14:38:50.599
20,A,2019/01/10 14:40:00.000,2019/01/10 14:40:00.000
17,C,2019/01/10 14:42:23.930,2019/01/10 14:42:23.930
16,A,2019/01/10 14:42:54.411,2019/01/10 14:42:54.411
13,C,2019/01/10 14:48:01.525,2019/01/10 14:48:01.525
5,B,2019/01/10 14:50:43.485,2019/01/10 14:50:43.485
19,B,2019/01/10 14:52:11.480,2019/01/10 14:52:11.480
9,M,2019/01/10 14:57:30.150,2019/01/10 14:57:30.150
18,D,2019/01/10 14:59:57.059,2019/01/10 14:59:57.059
21,A,2019/01/10 15:00:00.000,2019/01/10 15:00:00.000
7,N,2019/01/10 15:01:51.386,2019/01/10 15:01:51.386
15,B,2019/01/10 15:03:25.874,2019/01/10 15:03:25.874
10,K,2019/01/10 15:05:45.923,2019/01/10 15:05:45.923
12,A,2019/01/10 15:06:11.593,2019/01/10 15:06:11.593
8,J,2019/01/10 15:06:27.748,2019/01/10 15:06:27.748
17,A,2019/01/10 15:08:03.147,2019/01/10 15:08:03.147
14,H,2019/01/10 15:08:45.384,2019/01/10 15:08:45.384
20,B,2019/01/10 15:09:38.041,2019/01/10 15:09:38.041
16,F,2019/01/10 15:11:22.029,2019/01/10 15:11:22.029
11,F,2019/01/10 15:11:39.555,2019/01/10 15:11:39.555
13,A,2019/01/10 15:19:29.407,2019/01/10 15:19:29.407
22,A,2019/01/10 15:20:00.000,2019/01/10 15:20:00.000
5,C,2019/01/10 15:23:51.399,2019/01/10 15:23:51.399
19,C,2019/01/10 15:27:01.512,2019/01/10 15:27:01.512
9,O,2019/01/10 15:28:09.920,2019/01/10 15:28:09.920
18,E,2019/01/10 15:28:52.038,2019/01/10 15:28:52.038
21,B,2019/01/10 15:29:51.294,2019/01/10 15:29:51.294
12,B,2019/01/10 15:31:28.492,2019/01/10 15:31:28.492
10,M,2019/01/10 15:33:08.628,2019/01/10 15:33:08.628
15,C,2019/01/10 15:34:24.613,2019/01/10 15:34:24.613
17,F,2019/01/10 15:36:32.601,2019/01/10 15:36:32.601
20,C,2019/01/10 15:37:23.668,2019/01/10 15:37:23.668
8,K,2019/01/10 15:37:46.298,2019/01/10 15:37:46.298
23,A,2019/01/10 15:40:00.000,2019/01/10 15:40:00.000
11,D,2019/01/10 15:40:49.005,2019/01/10 15:40:49.005
16,D,2019/01/10 15:41:44.777,2019/01/10 15:41:44.777
13,F,2019/01/10 15:49:22.145,2019/01/10 15:49:22.145
22,F,2019/01/10 15:54:36.361,2019/01/10 15:54:36.361
5,A,2019/01/10 15:55:53.270,2019/01/10 15:55:53.270
19,A,2019/01/10 15:56:24.626,2019/01/10 15:56:24.626
18,G,2019/01/10 15:58:42.658,2019/01/10 15:58:42.658
24,A,2019/01/10 16:00:00.000,2019/01/10 16:00:00.000
21,C,2019/01/10 16:00:14.036,2019/01/10 16:00:14.036
12,C,2019/01/10 16:03:45.183,2019/01/10 16:03:45.183
10,N,2019/01/10 16:03:47.144,2019/01/10 16:03:47.144
15,A,2019/01/10 16:04:12.031,2019/01/10 16:04:12.031
17,D,2019/01/10 16:06:43.761,2019/01/10 16:06:43.761
23,F,2019/01/10 16:06:50.122,2019/01/10 16:06:50.122
11,E,2019/01/10 16:08:26.261,2019/01/10 16:08:26.261
8,M,2019/01/10 16:13:36.220,2019/01/10 16:13:36.220
20,A,2019/01/10 16:14:27.456,2019/01/10 16:14:27.456
16,E,2019/01/10 16:16:19.314,2019/01/10 16:16:19.314
13,D,2019/01/10 16:16:35.538,2019/01/10 16:16:35.538
25,A,2019/01/10 16:20:00.000,2019/01/10 16:20:00.000
19,B,2019/01/10 16:22:11.421,2019/01/10 16:22:11.421
5,B,2019/01/10 16:24:02.301,2019/01/10 16:24:02.301
22,D,2019/01/10 16:24:49.355,2019/01/10 16:24:49.355
24,B,2019/01/10 16:26:28.323,2019/01/10 16:26:28.323
21,A,2019/01/10 16:27:01.346,2019/01/10 16:27:01.346
18,H,2019/01/10 16:32:30.329,2019/01/10 16:32:30.329
12,A,2019/01/10 16:36:08.026,2019/01/10 16:36:08.026
17,E,2019/01/10 16:36:12.182,2019/01/10 16:36:12.182
11,G,2019/01/10 16:38:44.567,2019/01/10 16:38:44.567
23,D,2019/01/10 16:38:47.950,2019/01/10 16:38:47.950
15,B,2019/01/10 16:38:58.459,2019/01/10 16:38:58.459
26,A,2019/01/10 16:40:00.000,2019/01/10 16:40:00.000
20,F,2019/01/10 16:48:00.665,2019/01/10 16:48:00.665
16,G,2019/01/10 16:50:34.301,2019/01/10 16:50:34.301
8,N,2019/01/10 16:51:29.983,2019/01/10 16:51:29.983
13,E,2019/01/10 16:51:30.690,2019/01/10 16:51:30.690
19,C,2019/01/10 16:52:50.537,2019/01/10 16:52:50.537
22,E,2019/01/10 16:53:28.312,2019/01/10 16:53:28.312
25,F,2019/01/10 16:53:31.030,2019/01/10 16:53:31.030
5,C,2019/01/10 16:53:59.847,2019/01/10 16:53:59.847
21,B,2019/01/10 16:55:01.386,2019/01/10 16:55:01.386
24,C,2019/01/10 16:57:55.233,2019/01/10 16:57:55.233
