case,event,startTime,completeTime
0,A,2019/01/10 08:00:00.000,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000,2019/01/10 08:20:00.000
0,B,2019/01/10 08:27:47.638,2019/01/10 08:27:47.638
2,A,2019/01/10 08:40:00.000,2019/01/10 08:40:00.000
1,D,2019/01/10 08:43:28.752,2019/01/10 08:43:28.752
0,C,2019/01/10 08:57:47.168,2019/01/10 08:57:47.168
3,A,2019/01/10 09:00:00.000,2019/01/10 09:00:00.000
2,D,2019/01/10 09:10:20.305,2019/01/10 09:10:20.305
1,F,2019/01/10 09:16:14.402,2019/01/10 09:16:14.402
4,A,2019/01/10 09:20:00.000,2019/01/10 09:20:00.000
0,A,2019/01/10 09:25:49.643,2019/01/10 09:25:49.643
3,D,2019/01/10 09:29:55.107,2019/01/10 09:29:55.107
5,A,2019/01/10 09:40:00.000,2019/01/10 09:40:00.000
2,F,2019/01/10 09:43:29.141,2019/01/10 09:43:29.141
1,E,2019/01/10 09:46:36.280,2019/01/10 09:46:36.280
0,B,2019/01/10 09:50:28.276,2019/01/10 09:50:28.276
4,B,2019/01/10 09:50:33.531,2019/01/10 09:50:33.531
6,A,2019/01/10 10:00:00.000,2019/01/10 10:00:00.000
3,F,2019/01/10 10:02:23.121,2019/01/10 10:02:23.121
5,B,2019/01/10 10:06:43.878,2019/01/10 10:06:43.878
2,E,2019/01/10 10:14:30.760,2019/01/10 10:14:30.760
1,G,2019/01/10 10:14:59.418,2019/01/10 10:14:59.418
7,A,2019/01/10 10:20:00.000,2019/01/10 10:20:00.000
4,C,2019/01/10 10:24:46.324,2019/01/10 10:24:46.324
0,C,2019/01/10 10:25:17.956,2019/01/10 10:25:17.956
6,D,2019/01/10 10:30:02.876,2019/01/10 10:30:02.876
3,E,2019/01/10 10:37:23.901,2019/01/10 10:37:23.901
5,C,2019/01/10 10:38:52.973,2019/01/10 10:38:52.973
8,A,2019/01/10 10:40:00.000,2019/01/10 10:40:00.000
1,H,2019/01/10 10:43:14.415,2019/01/10 10:43:14.415
2,G,2019/01/10 10:46:38.378,2019/01/10 10:46:38.378
7,D,2019/01/10 10:48:50.046,2019/01/10 10:48:50.046
0,A,2019/01/10 10:53:46.445,2019/01/10 10:53:46.445
4,A,2019/01/10 10:55:54.327,2019/01/10 10:55:54.327
9,A,2019/01/10 11:00:00.000,2019/01/10 11:00:00.000
3,G,2019/01/10 11:03:46.184,2019/01/10 11:03:46.184
6,F,2019/01/10 11:07:30.621,2019/01/10 11:07:30.621
5,A,2019/01/10 11:09:19.896,2019/01/10 11:09:19.896
8,D,2019/01/10 11:14:20.472,2019/01/10 11:14:20.472
2,H,2019/01/10 11:17:36.671,2019/01/10 11:17:36.671
10,A,2019/01/10 11:20:00.000,2019/01/10 11:20:00.000
7,F,2019/01/10 11:23:57.305,2019/01/10 11:23:57.305
0,B,2019/01/10 11:26:06.211,2019/01/10 11:26:06.211
4,D,2019/01/10 11:27:44.535,2019/01/10 11:27:44.535
9,B,2019/01/10 11:30:48.526,2019/01/10 11:30:48.526
3,I,2019/01/10 11:34:51.164,2019/01/10 11:34:51.164
6,E,2019/01/10 11:35:55.174,2019/01/10 11:35:55.174
11,A,2019/01/10 11:40:00.000,2019/01/10 11:40:00.000
5,D,2019/01/10 11:41:15.148,2019/01/10 11:41:15.148
8,F,2019/01/10 11:45:49.521,2019/01/10 11:45:49.521
10,D,2019/01/10 11:50:49.441,2019/01/10 11:50:49.441
0,C,2019/01/10 11:54:55.597,2019/01/10 11:54:55.597
7,E,2019/01/10 11:55:28.203,2019/01/10 11:55:28.203
12,A,2019/01/10 12:00:00.000,2019/01/10 12:00:00.000
4,F,2019/01/10 12:00:07.774,2019/01/10 12:00:07.774
9,C,2019/01/10 12:02:00.148,2019/01/10 12:02:00.148
3,J,2019/01/10 12:04:22.795,2019/01/10 12:04:22.795
6,G,2019/01/10 12:06:48.254,2019/01/10 12:06:48.254
11,B,2019/01/10 12:09:57.464,2019/01/10 12:09:57.464
5,F,2019/01/10 12:10:13.067,2019/01/10 12:10:13.067
8,E,2019/01/10 12:14:48.686,2019/01/10 12:14:48.686
13,A,2019/01/10 12:20:00.000,2019/01/10 12:20:00.000
10,F,2019/01/10 12:22:08.859,2019/01/10 12:22:08.859
0,A,2019/01/10 12:24:29.058,2019/01/10 12:24:29.058
4,E,2019/01/10 12:27:54.042,2019/01/10 12:27:54.042
12,B,2019/01/10 12:28:13.874,2019/01/10 12:28:13.874
7,G,2019/01/10 12:29:53.908,2019/01/10 12:29:53.908
3,K,2019/01/10 12:35:02.103,2019/01/10 12:35:02.103
9,A,2019/01/10 12:35:39.064,2019/01/10 12:35:39.064
11,C,2019/01/10 12:38:03.187,2019/01/10 12:38:03.187
14,A,2019/01/10 12:40:00.000,2019/01/10 12:40:00.000
6,I,2019/01/10 12:41:04.526,2019/01/10 12:41:04.526
8,G,2019/01/10 12:43:15.612,2019/01/10 12:43:15.612
5,E,2019/01/10 12:45:06.697,2019/01/10 12:45:06.697
10,E,2019/01/10 12:48:53.972,2019/01/10 12:48:53.972
13,D,2019/01/10 12:49:31.690,2019/01/10 12:49:31.690
4,G,2019/01/10 12:55:41.745,2019/01/10 12:55:41.745
12,C,2019/01/10 12:57:34.105,2019/01/10 12:57:34.105
0,B,2019/01/10 12:59:07.628,2019/01/10 12:59:07.628
15,A,2019/01/10 13:00:00.000,2019/01/10 13:00:00.000
7,I,2019/01/10 13:00:19.670,2019/01/10 13:00:19.670
9,D,2019/01/10 13:02:15.755,2019/01/10 13:02:15.755
14,B,2019/01/10 13:04:55.422,2019/01/10 13:04:55.422
3,M,2019/01/10 13:05:43.833,2019/01/10 13:05:43.833
11,A,2019/01/10 13:06:25.000,2019/01/10 13:06:25.000
6,J,2019/01/10 13:12:33.540,2019/01/10 13:12:33.540
5,G,2019/01/10 13:14:01.931,2019/01/10 13:14:01.931
8,H,2019/01/10 13:14:38.856,2019/01/10 13:14:38.856
10,G,2019/01/10 13:16:51.691,2019/01/10 13:16:51.691
16,A,2019/01/10 13:20:00.000,2019/01/10 13:20:00.000
13,F,2019/01/10 13:21:47.780,2019/01/10 13:21:47.780
4,H,2019/01/10 13:24:20.875,2019/01/10 13:24:20.875
0,C,2019/01/10 13:26:03.583,2019/01/10 13:26:03.583
12,A,2019/01/10 13:27:47.232,2019/01/10 13:27:47.232
7,J,2019/01/10 13:30:00.167,2019/01/10 13:30:00.167
9,F,2019/01/10 13:32:12.417,2019/01/10 13:32:12.417
15,B,2019/01/10 13:34:27.978,2019/01/10 13:34:27.978
11,B,2019/01/10 13:35:51.986,2019/01/10 13:35:51.986
3,N,2019/01/10 13:36:27.415,2019/01/10 13:36:27.415
14,C,2019/01/10 13:36:49.770,2019/01/10 13:36:49.770
17,A,2019/01/10 13:40:00.000,2019/01/10 13:40:00.000
10,H,2019/01/10 13:45:26.892,2019/01/10 13:45:26.892
16,D,2019/01/10 13:47:49.431,2019/01/10 13:47:49.431
5,I,2019/01/10 13:49:06.370,2019/01/10 13:49:06.370
6,L,2019/01/10 13:50:46.528,2019/01/10 13:50:46.528
13,E,2019/01/10 13:54:05.471,2019/01/10 13:54:05.471
15,C,2019/01/10 13:57:45.101,2019/01/10 13:57:45.101
7,K,2019/01/10 13:59:15.311,2019/01/10 13:59:15.311
12,D,2019/01/10 13:59:20.703,2019/01/10 13:59:20.703
0,A,2019/01/10 13:59:56.667,2019/01/10 13:59:56.667
18,A,2019/01/10 14:00:00.000,2019/01/10 14:00:00.000
11,C,2019/01/10 14:01:12.514,2019/01/10 14:01:12.514
9,E,2019/01/10 14:03:15.984,2019/01/10 14:03:15.984
14,A,2019/01/10 14:07:00.376,2019/01/10 14:07:00.376
17,D,2019/01/10 14:12:20.783,2019/01/10 14:12:20.783
16,F,2019/01/10 14:13:34.447,2019/01/10 14:13:34.447
5,J,2019/01/10 14:17:37.641,2019/01/10 14:17:37.641
19,A,2019/01/10 14:20:00.000,2019/01/10 14:20:00.000
6,M,2019/01/10 14:21:18.855,2019/01/10 14:21:18.855
13,G,2019/01/10 14:24:10.192,2019/01/10 14:24:10.192
18,D,2019/01/10 14:25:27.638,2019/01/10 14:25:27.638
0,B,2019/01/10 14:26:55.895,2019/01/10 14:26:55.895
15,A,2019/01/10 14:27:33.026,2019/01/10 14:27:33.026
12,F,2019/01/10 14:28:31.846,2019/01/10 14:28:31.846
7,M,2019/01/10 14:29:03.601,2019/01/10 14:29:03.601
11,A,2019/01/10 14:30:26.033,2019/01/10 14:30:26.033
14,B,2019/01/10 14:32:44.294,2019/01/10 14:32:44.294
9,G,2019/01/10 14:37:20.818,2019/01/10 14:37:20.818
20,A,2019/01/10 14:40:00.000,2019/01/10 14:40:00.000
17,F,2019/01/10 14:41:03.614,2019/01/10 14:41:03.614
16,E,2019/01/10 14:42:32.464,2019/01/10 14:42:32.464
5,K,2019/01/10 14:48:02.951,2019/01/10 14:48:02.951
6,O,2019/01/10 14:49:45.890,2019/01/10 14:49:45.890
19,B,2019/01/10 14:52:24.712,2019/01/10 14:52:24.712
18,F,2019/01/10 14:54:55.360,2019/01/10 14:54:55.360
0,C,2019/01/10 14:55:13.433,2019/01/10 14:55:13.433
13,H,2019/01/10 14:58:11.071,2019/01/10 14:58:11.071
12,E,2019/01/10 14:58:26.459,2019/01/10 14:58:26.459
21,A,2019/01/10 15:00:00.000,2019/01/10 15:00:00.000
15,D,2019/01/10 15:01:29.941,2019/01/10 15:01:29.941
7,O,2019/01/10 15:01:54.095,2019/01/10 15:01:54.095
9,H,2019/01/10 15:03:07.598,2019/01/10 15:03:07.598
14,C,2019/01/10 15:03:20.521,2019/01/10 15:03:20.521
11,D,2019/01/10 15:03:40.179,2019/01/10 15:03:40.179
17,E,2019/01/10 15:08:04.937,2019/01/10 15:08:04.937
16,G,2019/01/10 15:08:34.234,2019/01/10 15:08:34.234
20,B,2019/01/10 15:10:00.643,2019/01/10 15:10:00.643
5,M,2019/01/10 15:15:27.970,2019/01/10 15:15:27.970
22,A,2019/01/10 15:20:00.000,2019/01/10 15:20:00.000
0,A,2019/01/10 15:22:50.170,2019/01/10 15:22:50.170
19,C,2019/01/10 15:25:22.230,2019/01/10 15:25:22.230
12,G,2019/01/10 15:26:40.428,2019/01/10 15:26:40.428
18,E,2019/01/10 15:27:33.863,2019/01/10 15:27:33.863
14,A,2019/01/10 15:30:56.964,2019/01/10 15:30:56.964
15,F,2019/01/10 15:33:23.469,2019/01/10 15:33:23.469
11,F,2019/01/10 15:35:15.629,2019/01/10 15:35:15.629
21,B,2019/01/10 15:35:24.585,2019/01/10 15:35:24.585
20,C,2019/01/10 15:38:07.105,2019/01/10 15:38:07.105
16,I,2019/01/10 15:38:37.464,2019/01/10 15:38:37.464
23,A,2019/01/10 15:40:00.000,2019/01/10 15:40:00.000
17,G,2019/01/10 15:41:29.318,2019/01/10 15:41:29.318
5,O,2019/01/10 15:43:49.602,2019/01/10 15:43:49.602
0,B,2019/01/10 15:53:12.713,2019/01/10 15:53:12.713
18,G,2019/01/10 15:54:40.001,2019/01/10 15:54:40.001
22,D,2019/01/10 15:55:16.417,2019/01/10 15:55:16.417
19,A,2019/01/10 15:56:04.763,2019/01/10 15:56:04.763
14,D,2019/01/10 15:59:38.153,2019/01/10 15:59:38.153
24,A,2019/01/10 16:00:00.000,2019/01/10 16:00:00.000
12,H,2019/01/10 16:01:59.474,2019/01/10 16:01:59.474
21,C,2019/01/10 16:04:43.736,2019/01/10 16:04:43.736
11,E,2019/01/10 16:05:53.870,2019/01/10 16:05:53.870
15,E,2019/01/10 16:07:54.744,2019/01/10 16:07:54.744
20,A,2019/01/10 16:08:10.809,2019/01/10 16:08:10.809
16,J,2019/01/10 16:09:47.180,2019/01/10 16:09:47.180
17,I,2019/01/10 16:09:57.262,2019/01/10 16:09:57.262
23,D,2019/01/10 16:11:41.158,2019/01/10 16:11:41.158
25,A,2019/01/10 16:20:00.000,2019/01/10 16:20:00.000
22,F,2019/01/10 16:24:20.376,2019/01/10 16:24:20.376
18,I,2019/01/10 16:25:33.325,2019/01/10 16:25:33.325
19,B,2019/01/10 16:27:31.834,2019/01/10 16:27:31.834
0,C,2019/01/10 16:28:32.565,2019/01/10 16:28:32.565
24,D,2019/01/10 16:32:11.097,2019/01/10 16:32:11.097
14,F,2019/01/10 16:35:25.464,2019/01/10 16:35:25.464
21,A,2019/01/10 16:37:09.735,2019/01/10 16:37:09.735
20,D,2019/01/10 16:38:16.939,2019/01/10 16:38:16.939
11,G,2019/01/10 16:38:22.167,2019/01/10 16:38:22.167
16,K,2019/01/10 16:38:23.802,2019/01/10 16:38:23.802
26,A,2019/01/10 16:40:00.000,2019/01/10 16:40:00.000
15,G,2019/01/10 16:42:42.135,2019/01/10 16:42:42.135
17,J,2019/01/10 16:43:28.097,2019/01/10 16:43:28.097
23,F,2019/01/10 16:44:42.208,2019/01/10 16:44:42.208
25,B,2019/01/10 16:47:25.303,2019/01/10 16:47:25.303
22,E,2019/01/10 16:53:59.909,2019/01/10 16:53:59.909
18,J,2019/01/10 16:55:50.061,2019/01/10 16:55:50.061
0,A,2019/01/10 16:56:35.185,2019/01/10 16:56:35.185
24,F,2019/01/10 16:58:14.752,2019/01/10 16:58:14.752
19,C,2019/01/10 16:59:16.216,2019/01/10 16:59:16.216
27,A,2019/01/10 17:00:00.000,2019/01/10 17:00:00.000
14,E,2019/01/10 17:01:38.584,2019/01/10 17:01:38.584
21,D,2019/01/10 17:03:08.879,2019/01/10 17:03:08.879
16,M,2019/01/10 17:05:07.329,2019/01/10 17:05:07.329
26,B,2019/01/10 17:08:37.505,2019/01/10 17:08:37.505
11,H,2019/01/10 17:09:02.528,2019/01/10 17:09:02.528
17,K,2019/01/10 17:09:43.295,2019/01/10 17:09:43.295
