Experiment,Dataset,Deviation,Trace Threshold,Anomaly Threshold,Lower Boundary,Cohens Boundary,Model Epsilon,Drift Actual,Drifts detected,at event,at event actual,exe time,cohens score
1,sudden_100,2.0,0.8,220,0.8,13,0.25,1,DriftType.SUDDEN,868,0,3.0454061031341553,18.652805323089122
1,sudden_100,2.0,0.8,220,0.7,13,0.25,1,DriftType.SUDDEN,828,0,2.5141098499298096,18.581034574500794
1,sudden_100,2.0,0.8,220,0.6,13,0.25,1,DriftType.SUDDEN,787,0,2.259892463684082,18.520198125789104
1,sudden_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.SUDDEN,731,0,1.9297821521759033,18.568692293923355
1,sudden_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,823,0,1.9297821521759033,9.148660737621155
1,sudden_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,824,0,1.9297821521759033,7.918374020778105
1,sudden_100,2.0,0.8,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,826,0,1.9297821521759033,8.814377823401138
1,sudden_100,2.0,0.7,220,0.8,13,0.25,1,DriftType.SUDDEN,868,0,2.700000524520874,18.652805323089122
1,sudden_100,2.0,0.7,220,0.7,13,0.25,1,DriftType.SUDDEN,828,0,2.3406734466552734,18.581034574500794
1,sudden_100,2.0,0.7,220,0.6,13,0.25,1,DriftType.SUDDEN,787,0,2.0737481117248535,18.520198125789104
1,sudden_100,2.0,0.7,220,0.5,13,0.25,1,DriftType.SUDDEN,731,0,1.852168321609497,18.568692293923355
1,sudden_100,2.0,0.7,220,0.5,13,0.25,1,DriftType.SUDDEN,895,0,1.852168321609497,36.26509460661146
1,sudden_100,2.0,0.7,220,0.5,13,0.25,1,DriftType.INCREMENTAL_RECURRING,896,0,1.852168321609497,3.750093912826029
1,sudden_100,2.0,0.6,220,0.8,13,0.25,1,DriftType.SUDDEN,868,0,2.6570093631744385,17.779641340560023
1,sudden_100,2.0,0.6,220,0.7,13,0.25,1,DriftType.SUDDEN,827,0,2.385958433151245,18.580783299092527
1,sudden_100,2.0,0.6,220,0.6,13,0.25,1,DriftType.SUDDEN,776,0,2.0430514812469482,18.528090758714203
1,sudden_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN,731,0,1.7916338443756104,18.568692293923355
1,sudden_100,2.0,0.5,220,0.8,13,0.25,1,DriftType.SUDDEN,868,0,2.5747010707855225,18.652805323089122
1,sudden_100,2.0,0.5,220,0.7,13,0.25,1,DriftType.SUDDEN,827,0,2.388225793838501,18.580783299092527
1,sudden_100,2.0,0.5,220,0.6,13,0.25,1,DriftType.SUDDEN,776,0,2.0407469272613525,18.528090758714203
1,sudden_100,2.0,0.5,220,0.5,13,0.25,1,DriftType.SUDDEN,731,0,1.7731499671936035,18.568692293923355
