Experiment,Dataset,Deviation,Trace Threshold,Lower Boundary,Anomaly Threshold,Cohens Boundary,Model Epsilon,Drifts detected,at event,exe time,cohens score
0,incremental_100,0.6,0.6,220,0.7,6,0.2,DriftType.SUDDEN,971,5.6299920082092285,11.127576003487647
0,incremental_100,0.8,0.6,220,0.7,6,0.2,DriftType.SUDDEN,384,4.180238723754883,18.716550053035817
0,incremental_100,0.8,0.6,220,0.7,6,0.2,DriftType.SUDDEN_RECURRING,418,4.180238723754883,33.73566464825795
0,incremental_100,0.8,0.6,220,0.7,6,0.2,DriftType.SUDDEN_RECURRING,912,4.180238723754883,6.924542730777662
0,incremental_100,0.8,0.6,220,0.7,6,0.2,DriftType.INCREMENTAL_RECURRING,975,4.180238723754883,2.8738218299910043
0,incremental_100,0.8,0.6,220,0.7,6,0.2,DriftType.INCREMENTAL_RECURRING,983,4.180238723754883,3.2131603051211743
0,incremental_100,0.8,0.6,220,0.7,6,0.2,DriftType.INCREMENTAL_RECURRING,984,4.180238723754883,3.21462492900609
0,incremental_100,1.0,0.6,220,0.7,6,0.2,DriftType.SUDDEN,334,3.665231466293335,23.040741380080124
0,incremental_100,1.0,0.6,220,0.7,6,0.2,DriftType.SUDDEN_RECURRING,389,3.665231466293335,16.25750356151919
0,incremental_100,1.0,0.6,220,0.7,6,0.2,DriftType.SUDDEN_RECURRING,856,3.665231466293335,6.394259029282097
