Experiment,Dataset,Deviation,Trace Threshold,Lower Boundary,Anomaly Threshold,Cohens Boundary,Model Epsilon,Drifts detected,at event,exe time,cohens score
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN,567,1.635873556137085,15.646482366496384
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN,575,1.635873556137085,14.4717679514835
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,576,1.635873556137085,15.364272618180006
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,583,1.635873556137085,15.01344367512223
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,584,1.635873556137085,15.245586848061269
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,589,1.635873556137085,14.95303281711215
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,590,1.635873556137085,15.255645880194422
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,597,1.635873556137085,14.826918478181016
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,598,1.635873556137085,15.137124726611582
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,608,1.635873556137085,16.04200260485914
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,609,1.635873556137085,15.829335578754442
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,621,1.635873556137085,16.02569275560805
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,622,1.635873556137085,16.156256507690756
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,630,1.635873556137085,16.352412433784245
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,631,1.635873556137085,16.36426435410182
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,644,1.635873556137085,16.40925532520761
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,645,1.635873556137085,16.202483992209352
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,653,1.635873556137085,17.06156635447042
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,654,1.635873556137085,16.872312210443045
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,662,1.635873556137085,17.19482992059755
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,663,1.635873556137085,16.928203688936485
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,672,1.635873556137085,17.05776599534782
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,673,1.635873556137085,16.873509929672508
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,684,1.635873556137085,17.002873839485808
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,685,1.635873556137085,16.815498998337578
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,697,1.635873556137085,17.176591730708207
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,698,1.635873556137085,16.86824943636553
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,709,1.635873556137085,17.242906056424175
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,710,1.635873556137085,17.03965725766368
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,718,1.635873556137085,17.22811548575069
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,719,1.635873556137085,17.284282654184562
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,728,1.635873556137085,16.83795395210497
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,729,1.635873556137085,16.994315700792402
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,738,1.635873556137085,16.80735233529137
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,739,1.635873556137085,16.96628322950947
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,746,1.635873556137085,16.824197271188986
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,747,1.635873556137085,18.051949274558297
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,758,1.635873556137085,18.813365202072458
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,759,1.635873556137085,19.399423008220115
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,773,1.635873556137085,19.13561727412254
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,774,1.635873556137085,19.63022065132568
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,784,1.635873556137085,19.32963093179171
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,785,1.635873556137085,19.501903914895372
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,796,1.635873556137085,20.148788197789525
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,797,1.635873556137085,20.150615189218012
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,812,1.635873556137085,20.368946304096074
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,813,1.635873556137085,20.30110562036772
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,826,1.635873556137085,19.931869777635914
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,827,1.635873556137085,19.962223372237045
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,831,1.635873556137085,20.413257561778877
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,832,1.635873556137085,20.413946108890453
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,839,1.635873556137085,20.148031047941753
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,840,1.635873556137085,20.15204372883293
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,853,1.635873556137085,20.17424135843347
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,854,1.635873556137085,20.24758023662594
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,866,1.635873556137085,20.349728069823815
0,sudden_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,867,1.635873556137085,20.387884038292416
