Experiment,Dataset,Deviation,Trace Threshold,Lower Boundary,Anomaly Threshold,Cohens Boundary,Model Epsilon,Drifts detected,at event,exe time,cohens score
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN,365,3.563443422317505,16.724543080220602
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN,372,3.563443422317505,14.157504751316223
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,373,3.563443422317505,14.177162997454715
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,381,3.563443422317505,14.204769584360603
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,382,3.563443422317505,14.750179968451594
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,389,3.563443422317505,14.222482968264773
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,390,3.563443422317505,14.775515306091139
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,402,3.563443422317505,14.273153643543864
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,403,3.563443422317505,14.748646679308965
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,410,3.563443422317505,14.39904699913272
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,411,3.563443422317505,14.736929267766822
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,417,3.563443422317505,14.418298855771235
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,418,3.563443422317505,14.720194889090154
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,427,3.563443422317505,14.654035799989684
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,428,3.563443422317505,15.259600111550133
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,437,3.563443422317505,14.694483296774644
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,438,3.563443422317505,15.339975508965077
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,450,3.563443422317505,14.73278301482605
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,451,3.563443422317505,15.474106494954649
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,460,3.563443422317505,15.42550366620832
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,461,3.563443422317505,15.167833631565783
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,468,3.563443422317505,15.289733480570886
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,469,3.563443422317505,15.064466448392585
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,480,3.563443422317505,15.315128584285196
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,481,3.563443422317505,15.087328850214208
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,486,3.563443422317505,15.482393544718633
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,487,3.563443422317505,15.195152607259478
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,493,3.563443422317505,15.410922310386288
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,494,3.563443422317505,15.140969255392125
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,495,3.563443422317505,14.994592605857378
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,496,3.563443422317505,14.732438328885305
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,501,3.563443422317505,15.379393698090851
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,502,3.563443422317505,15.102058753820044
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,511,3.563443422317505,15.01911739814691
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,512,3.563443422317505,15.031303268867111
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,523,3.563443422317505,14.976531145618988
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,524,3.563443422317505,14.992600032539775
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,536,3.563443422317505,15.380888881194743
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,537,3.563443422317505,15.394123059258034
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,544,3.563443422317505,15.474876539603027
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,545,3.563443422317505,15.47345361344436
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,551,3.563443422317505,15.510335682127831
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,552,3.563443422317505,15.539168718799152
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,562,3.563443422317505,15.136632324110938
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,563,3.563443422317505,15.139658830663288
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,572,3.563443422317505,15.096701734739053
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,573,3.563443422317505,15.09895523994358
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,585,3.563443422317505,15.00028889002967
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,586,3.563443422317505,15.001901592543287
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,600,3.563443422317505,15.27889770582349
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,601,3.563443422317505,15.275456948260278
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,617,3.563443422317505,15.273411949687251
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,618,3.563443422317505,15.244376111305481
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,627,3.563443422317505,15.10753839848359
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,628,3.563443422317505,15.10728855997386
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,635,3.563443422317505,15.038238629122224
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,636,3.563443422317505,15.047323358596179
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,646,3.563443422317505,28.194157272580767
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,647,3.563443422317505,15.366045768195944
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,657,3.563443422317505,15.81905233423528
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,658,3.563443422317505,15.351701434143802
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,672,3.563443422317505,20.253392632177796
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,673,3.563443422317505,16.732587429361708
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,696,3.563443422317505,21.580459664855386
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,697,3.563443422317505,17.438964275274365
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,698,3.563443422317505,21.81092013770018
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,699,3.563443422317505,18.00730199999788
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,700,3.563443422317505,26.39306780677323
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,702,3.563443422317505,18.587417541003454
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,703,3.563443422317505,60.120543053242564
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,704,3.563443422317505,34.10742168586975
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,705,3.563443422317505,77.54127716715011
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,707,3.563443422317505,24.935592030009822
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,708,3.563443422317505,73.30965534515695
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,709,3.563443422317505,38.10055815406746
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,710,3.563443422317505,37.43040093705422
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,713,3.563443422317505,41.04777768902654
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,714,3.563443422317505,33.61353228903532
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,715,3.563443422317505,20.662905286382887
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,716,3.563443422317505,27.80731248244454
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,717,3.563443422317505,20.54309027821653
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,718,3.563443422317505,29.17631750005109
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,724,3.563443422317505,19.824956656505435
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,725,3.563443422317505,22.568477848745847
