case,activitypair,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,A,0.0,1730,3642,24741,26844,23018,28716,30465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,B,1730,0.0,1912,23011,25114,21288,26986,28735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,C,3642,1912,0.0,21099,23202,19377,25074,26823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,D,24741,23011,21099,0.0,2103,1723,3975,5724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,E,26844,25114,23202,2103,0.0,3826,1872,3621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,23018,21288,19377,1723,3826,0.0,5698,7447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,G,28716,26986,25074,3975,1872,5698,0.0,1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,H,30465,28735,26823,5724,3621,7447,1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A,0.0,1960,3661,36142,37924,34009,39685,0.0,41445,43690,0.0,45434,47011,48707,0.0
1,B,1960,0.0,1701,34182,35964,32048,37725,0.0,39485,41730,0.0,43473,45051,46747,0.0
1,C,3661,1701,0.0,32481,34263,30348,36024,0.0,37784,40029,0.0,41773,43350,45046,0.0
1,D,36142,34182,32481,0.0,1782,2133,3544,0.0,5303,7549,0.0,9292,10870,12566,0.0
1,E,37924,35964,34263,1782,0.0,3916,1761,0.0,3521,5766,0.0,7509,9087,10783,0.0
1,F,34009,32048,30348,2133,3916,0.0,5677,0.0,7436,9682,0.0,11425,13003,14699,0.0
