case,activitypair,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,A,0.0,1665,3380,9035,10868,7266,12878,14358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,B,1665,0.0,1715,7370,9203,5601,11213,12693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,C,3380,1715,0.0,5655,7488,3886,9498,10978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,D,9035,7370,5655,0.0,1833,1769,3843,5323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,E,10868,9203,7488,1833,0.0,3602,2010,3490,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,7266,5601,3886,1769,3602,0.0,5612,7092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,G,12878,11213,9498,3843,2010,5612,0.0,1480,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,H,14358,12693,10978,5323,3490,7092,1480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A,0.0,0.0,0.0,3722,5260,1699,7358,0.0,9360,11052,0.0,12952,14937,0.0,16901
1,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D,3722,0.0,0.0,0.0,1539,2023,3636,0.0,5638,7330,0.0,9230,11215,0.0,13180
1,E,5260,0.0,0.0,1539,0.0,3561,2097,0.0,4100,5791,0.0,7691,9677,0.0,11641
1,F,1699,0.0,0.0,2023,3561,0.0,5659,0.0,7661,9353,0.0,11253,13238,0.0,15202
1,G,7358,0.0,0.0,3636,2097,5659,0.0,0.0,2002,3694,0.0,5594,7579,0.0,9544
1,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,9360,0.0,0.0,5638,4100,7661,2002,0.0,0.0,1692,0.0,3592,5577,0.0,7541
1,J,11052,0.0,0.0,7330,5791,9353,3694,0.0,1692,0.0,0.0,1900,3885,0.0,5850
1,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L,12952,0.0,0.0,9230,7691,11253,5594,0.0,3592,1900,0.0,0.0,1985,0.0,3950
1,M,14937,0.0,0.0,11215,9677,13238,7579,0.0,5577,3885,0.0,1985,0.0,0.0,1964
1,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,O,16901,0.0,0.0,13180,11641,15202,9544,0.0,7541,5850,0.0,3950,1964,0.0,0.0
2,A,0.0,2279,4090,24707,26380,22794,28214,0.0,29602,31641,0.0,33551,35064,0.0,37008
2,B,2279,0.0,1810,22428,24101,20515,25935,0.0,27323,29361,0.0,31272,32784,0.0,34728
2,C,4090,1810,0.0,20618,22291,18705,24125,0.0,25513,27551,0.0,29462,30974,0.0,32918
2,D,24707,22428,20618,0.0,1673,1913,3507,0.0,4895,6933,0.0,8844,10356,0.0,12300
2,E,26380,24101,22291,1673,0.0,3586,1834,0.0,3222,5260,0.0,7171,8683,0.0,10627
2,F,22794,20515,18705,1913,3586,0.0,5420,0.0,6808,8847,0.0,10757,12269,0.0,14213
2,G,28214,25935,24125,3507,1834,5420,0.0,0.0,1388,3426,0.0,5337,6849,0.0,8793
2,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,I,29602,27323,25513,4895,3222,6808,1388,0.0,0.0,2038,0.0,3949,5461,0.0,7405
2,J,31641,29361,27551,6933,5260,8847,3426,0.0,2038,0.0,0.0,1911,3423,0.0,5367
2,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,L,33551,31272,29462,8844,7171,10757,5337,0.0,3949,1911,0.0,0.0,1512,0.0,3456
