case,activitypair,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,A,0.0,1947,3731,14587,16561,12954,18437,20128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,B,1947,0.0,1784,12640,14614,11007,16490,18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,C,3731,1784,0.0,10856,12830,9224,14707,16397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,D,14587,12640,10856,0.0,1974,1633,3850,5541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,E,16561,14614,12830,1974,0.0,3607,1876,3567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,F,12954,11007,9224,1633,3607,0.0,5483,7174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,G,18437,16490,14707,3850,1876,5483,0.0,1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,H,20128,18181,16397,5541,3567,7174,1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A,0.0,0.0,0.0,3609,5327,1851,6955,0.0,8641,10464,0.0,12571,14378,0.0,16491
1,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D,3609,0.0,0.0,0.0,1718,1758,3346,0.0,5033,6855,0.0,8962,10769,0.0,12882
1,E,5327,0.0,0.0,1718,0.0,3476,1628,0.0,3315,5137,0.0,7244,9051,0.0,11164
