case,activitypair,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,A,0.0,1668,3467,33860,37284,35492,39193,0.0,40964,42760,0.0,44304,45864,0.0,47709
0,B,1668,0.0,1800,32192,35616,33825,37525,0.0,39296,41093,0.0,42637,44197,0.0,46041
0,C,3467,1800,0.0,30393,33817,32025,35725,0.0,37496,39293,0.0,40837,42397,0.0,44242
0,D,33860,32192,30393,0.0,3424,1632,5333,0.0,7104,8900,0.0,10444,12004,0.0,13849
0,E,37284,35616,33817,3424,0.0,1791,1909,0.0,3680,5477,0.0,7021,8581,0.0,10425
0,F,35492,33825,32025,1632,1791,0.0,3700,0.0,5471,7268,0.0,8812,10372,0.0,12217
0,G,39193,37525,35725,5333,1909,3700,0.0,0.0,1771,3568,0.0,5112,6672,0.0,8516
0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,I,40964,39296,37496,7104,3680,5471,1771,0.0,0.0,1797,0.0,3341,4901,0.0,6745
0,J,42760,41093,39293,8900,5477,7268,3568,0.0,1797,0.0,0.0,1544,3104,0.0,4948
0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,L,44304,42637,40837,10444,7021,8812,5112,0.0,3341,1544,0.0,0.0,1560,0.0,3404
0,M,45864,44197,42397,12004,8581,10372,6672,0.0,4901,3104,0.0,1560,0.0,0.0,1845
0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,O,47709,46041,44242,13849,10425,12217,8516,0.0,6745,4948,0.0,3404,1845,0.0,0.0
1,A,0.0,0.0,0.0,1409,5196,3374,6899,8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D,1409,0.0,0.0,0.0,3788,1966,5491,7186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,E,5196,0.0,0.0,3788,0.0,1822,1703,3398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F,3374,0.0,0.0,1966,1822,0.0,3525,5220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,G,6899,0.0,0.0,5491,1703,3525,0.0,1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,H,8594,0.0,0.0,7186,3398,5220,1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A,0.0,0.0,0.0,1820,5671,3809,7598,9457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,1820,0.0,0.0,0.0,3850,1989,5778,7636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,E,5671,0.0,0.0,3850,0.0,1862,1928,3786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,F,3809,0.0,0.0,1989,1862,0.0,3789,5648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,G,7598,0.0,0.0,5778,1928,3789,0.0,1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H,9457,0.0,0.0,7636,3786,5648,1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A,0.0,0.0,0.0,1795,5844,3743,7426,0.0,9291,11063,12902,0.0,14744,16587,0.0
3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,D,1795,0.0,0.0,0.0,4049,1948,5631,0.0,7496,9268,11107,0.0,12949,14792,0.0
3,E,5844,0.0,0.0,4049,0.0,2101,1582,0.0,3447,5219,7058,0.0,8900,10744,0.0
3,F,3743,0.0,0.0,1948,2101,0.0,3683,0.0,5548,7320,9159,0.0,11001,12844,0.0
