case,start,end,timeSpread
0,A,B,1912
0,A,F,7017
0,B,C,1767
0,C,A,3679
0,D,E,1718
0,E,G,1665
0,F,D,1973
0,G,H,N/A
0,G,I,1760
0,I,J,1939
0,J,K,1939
0,J,L,N/A
0,K,M,1724
0,L,M,N/A
0,M,N,1638
0,M,O,N/A
1,A,B,N/A
1,A,F,1766
1,B,C,N/A
1,C,A,N/A
1,D,E,1620
1,E,G,1649
1,F,D,1800
1,G,H,N/A
1,G,I,2090
1,I,J,2097
1,J,K,1749
1,J,L,N/A
1,K,M,1871
1,L,M,N/A
1,M,N,1997
1,M,O,N/A
2,A,B,N/A
2,A,F,1901
2,B,C,N/A
2,C,A,N/A
2,D,E,1489
2,E,G,1861
2,F,D,1823
2,G,H,1825
2,G,I,N/A
2,I,J,N/A
2,J,K,N/A
2,J,L,N/A
2,K,M,N/A
2,L,M,N/A
2,M,N,N/A
2,M,O,N/A
3,A,B,N/A
3,A,F,1600
3,B,C,N/A
3,C,A,N/A
3,D,E,1819
3,E,G,1602
3,F,D,1565
3,G,H,1699
3,G,I,N/A
3,I,J,N/A
3,J,K,N/A
3,J,L,N/A
3,K,M,N/A
3,L,M,N/A
3,M,N,N/A
3,M,O,N/A
4,A,B,N/A
4,A,F,1564
4,B,C,N/A
4,C,A,N/A
4,D,E,1860
4,E,G,1482
4,F,D,1681
4,G,H,N/A
4,G,I,1752
4,I,J,1682
4,J,K,N/A
4,J,L,2049
4,K,M,N/A
4,L,M,1697
4,M,N,1889
4,M,O,N/A
5,A,B,1383
5,A,F,34952
5,B,C,1802
5,C,A,3185
5,D,E,2004
5,E,G,1999
5,F,D,1379
5,G,H,N/A
5,G,I,1801
5,I,J,1950
5,J,K,N/A
5,J,L,2091
5,K,M,N/A
5,L,M,1936
5,M,N,1791
5,M,O,N/A
6,A,B,N/A
6,A,F,2007
6,B,C,N/A
6,C,A,N/A
6,D,E,1883
6,E,G,1608
6,F,D,1737
6,G,H,1741
6,G,I,N/A
6,I,J,N/A
6,J,K,N/A
6,J,L,N/A
6,K,M,N/A
6,L,M,N/A
6,M,N,N/A
6,M,O,N/A
7,A,B,N/A
7,A,F,1860
7,B,C,N/A
7,C,A,N/A
7,D,E,1721
7,E,G,2004
7,F,D,2050
7,G,H,N/A
7,G,I,1863
7,I,J,1941
7,J,K,1984
7,J,L,N/A
7,K,M,1778
7,L,M,N/A
7,M,N,1711
7,M,O,N/A
8,A,B,1736
8,A,F,6871
8,B,C,1956
8,C,A,3692
8,D,E,1812
8,E,G,2309
