case,start,end,timeSpread
0,A,B,1730
0,A,F,23018
0,B,C,1912
0,C,A,3642
0,D,E,2103
0,E,G,1872
0,F,D,1723
0,G,H,1749
0,G,I,N/A
0,I,J,N/A
0,J,K,N/A
0,J,L,N/A
0,K,M,N/A
0,L,M,N/A
0,M,N,N/A
0,M,O,N/A
1,A,B,1960
1,A,F,34009
1,B,C,1701
1,C,A,3661
1,D,E,1782
1,E,G,1761
1,F,D,2133
1,G,H,N/A
1,G,I,1760
1,I,J,2245
1,J,K,N/A
1,J,L,1743
1,K,M,N/A
1,L,M,1578
1,M,N,1696
1,M,O,N/A
2,A,B,1806
2,A,F,13336
2,B,C,1672
2,C,A,3477
2,D,E,1850
2,E,G,1716
2,F,D,1848
2,G,H,1811
2,G,I,N/A
2,I,J,N/A
2,J,K,N/A
2,J,L,N/A
2,K,M,N/A
2,L,M,N/A
2,M,N,N/A
2,M,O,N/A
3,A,B,1742
3,A,F,6702
3,B,C,1745
3,C,A,3486
3,D,E,2035
3,E,G,1925
3,F,D,1591
3,G,H,N/A
3,G,I,1761
3,I,J,2122
3,J,K,N/A
3,J,L,1696
3,K,M,N/A
3,L,M,1777
3,M,N,1521
3,M,O,N/A
4,A,B,2258
4,A,F,7608
4,B,C,1830
4,C,A,4087
4,D,E,1744
4,E,G,1943
4,F,D,1972
4,G,H,1620
4,G,I,N/A
4,I,J,N/A
4,J,K,N/A
4,J,L,N/A
4,K,M,N/A
4,L,M,N/A
4,M,N,N/A
4,M,O,N/A
5,A,B,1667
5,A,F,7260
5,B,C,1960
5,C,A,3626
5,D,E,1993
5,E,G,1847
5,F,D,1935
5,G,H,1697
5,G,I,N/A
5,I,J,N/A
5,J,K,N/A
5,J,L,N/A
5,K,M,N/A
5,L,M,N/A
5,M,N,N/A
5,M,O,N/A
6,A,B,N/A
6,A,F,1743
6,B,C,N/A
6,C,A,N/A
6,D,E,1719
6,E,G,1465
6,F,D,1926
6,G,H,N/A
6,G,I,1910
6,I,J,1723
6,J,K,1492
6,J,L,N/A
6,K,M,1694
6,L,M,N/A
6,M,N,1583
6,M,O,N/A
7,A,B,N/A
7,A,F,1714
7,B,C,N/A
7,C,A,N/A
7,D,E,1666
7,E,G,1939
7,F,D,1635
7,G,H,N/A
7,G,I,1834
7,I,J,1897
7,J,K,N/A
7,J,L,2153
7,K,M,N/A
7,L,M,1834
7,M,N,1672
7,M,O,N/A
8,A,B,N/A
8,A,F,1728
8,B,C,N/A
8,C,A,N/A
8,D,E,2052
8,E,G,1760
8,F,D,1807
8,G,H,N/A
8,G,I,1987
8,I,J,1830
8,J,K,N/A
8,J,L,1722
8,K,M,N/A
8,L,M,1955
8,M,N,N/A
8,M,O,1774
9,A,B,N/A
9,A,F,1960
9,B,C,N/A
9,C,A,N/A
9,D,E,1769
9,E,G,1787
9,F,D,1905
9,G,H,N/A
9,G,I,1767
9,I,J,1482
9,J,K,N/A
9,J,L,1492
9,K,M,N/A
9,L,M,1630
9,M,N,N/A
9,M,O,1735
10,A,B,N/A
10,A,F,1962
10,B,C,N/A
10,C,A,N/A
10,D,E,1856
10,E,G,1708
10,F,D,1638
10,G,H,1598
10,G,I,N/A
10,I,J,N/A
10,J,K,N/A
10,J,L,N/A
10,K,M,N/A
10,L,M,N/A
10,M,N,N/A
10,M,O,N/A
11,A,B,1763
11,A,F,7185
11,B,C,1869
11,C,A,3632
11,D,E,1818
11,E,G,2113
11,F,D,1781
11,G,H,2012
11,G,I,N/A
11,I,J,N/A
11,J,K,N/A
11,J,L,N/A
11,K,M,N/A
11,L,M,N/A
11,M,N,N/A
11,M,O,N/A
12,A,B,N/A
12,A,F,1670
12,B,C,N/A
12,C,A,N/A
12,D,E,1589
12,E,G,1696
12,F,D,1872
12,G,H,1997
12,G,I,N/A
12,I,J,N/A
12,J,K,N/A
12,J,L,N/A
12,K,M,N/A
12,L,M,N/A
12,M,N,N/A
12,M,O,N/A
13,A,B,N/A
13,A,F,1882
13,B,C,N/A
13,C,A,N/A
13,D,E,2037
13,E,G,1826
13,F,D,1820
13,G,H,N/A
13,G,I,1765
13,I,J,1713
13,J,K,N/A
13,J,L,1639
13,K,M,N/A
13,L,M,1932
13,M,N,1831
13,M,O,N/A
14,A,B,N/A
14,A,F,2251
14,B,C,N/A
14,C,A,N/A
14,D,E,1645
14,E,G,1962
14,F,D,1742
14,G,H,N/A
14,G,I,2168
14,I,J,1703
14,J,K,1810
14,J,L,N/A
14,K,M,2037
14,L,M,N/A
14,M,N,1843
14,M,O,N/A
15,A,B,1538
15,A,F,17155
15,B,C,1790
15,C,A,3327
15,D,E,1658
15,E,G,2044
15,F,D,1948
15,G,H,N/A
15,G,I,1848
15,I,J,1666
15,J,K,N/A
15,J,L,1834
15,K,M,N/A
15,L,M,2066
15,M,N,N/A
15,M,O,1396
16,A,B,N/A
16,A,F,1802
16,B,C,N/A
16,C,A,N/A
16,D,E,1756
16,E,G,1827
16,F,D,1510
16,G,H,N/A
16,G,I,1762
16,I,J,1990
16,J,K,2010
16,J,L,N/A
16,K,M,2017
16,L,M,N/A
16,M,N,2019
16,M,O,N/A
17,A,B,N/A
17,A,F,1926
17,B,C,N/A
17,C,A,N/A
17,D,E,1856
17,E,G,1815
17,F,D,1755
17,G,H,N/A
17,G,I,1680
17,I,J,1884
17,J,K,1650
17,J,L,N/A
17,K,M,1580
17,L,M,N/A
17,M,N,N/A
17,M,O,1756
18,A,B,1764
