case,start,end,timeSpread
0,A,B,1665
0,A,F,7266
0,B,C,1715
0,C,A,3380
0,D,E,1833
0,E,G,2010
0,F,D,1769
0,G,H,1480
0,G,I,N/A
0,I,J,N/A
0,J,K,N/A
0,J,L,N/A
0,K,M,N/A
0,L,M,N/A
0,M,N,N/A
0,M,O,N/A
1,A,B,N/A
1,A,F,1699
1,B,C,N/A
1,C,A,N/A
1,D,E,1539
1,E,G,2097
1,F,D,2023
1,G,H,N/A
1,G,I,2002
1,I,J,1692
1,J,K,N/A
1,J,L,1900
1,K,M,N/A
1,L,M,1985
1,M,N,N/A
1,M,O,1964
2,A,B,2279
2,A,F,22794
2,B,C,1810
2,C,A,4090
2,D,E,1673
2,E,G,1834
2,F,D,1913
2,G,H,N/A
2,G,I,1388
2,I,J,2038
2,J,K,N/A
2,J,L,1911
2,K,M,N/A
2,L,M,1512
2,M,N,N/A
2,M,O,1944
3,A,B,N/A
3,A,F,1742
3,B,C,N/A
3,C,A,N/A
3,D,E,2108
3,E,G,1464
3,F,D,1886
3,G,H,2044
3,G,I,N/A
3,I,J,N/A
3,J,K,N/A
3,J,L,N/A
3,K,M,N/A
3,L,M,N/A
3,M,N,N/A
3,M,O,N/A
4,A,B,1507
4,A,F,6321
4,B,C,1594
4,C,A,3101
4,D,E,1592
4,E,G,1727
4,F,D,1725
4,G,H,N/A
4,G,I,1610
4,I,J,1719
4,J,K,N/A
4,J,L,1882
4,K,M,N/A
4,L,M,1608
4,M,N,1922
4,M,O,N/A
5,A,B,1981
5,A,F,6921
5,B,C,1600
5,C,A,3581
5,D,E,1806
5,E,G,1794
5,F,D,1812
5,G,H,N/A
5,G,I,1746
5,I,J,1661
5,J,K,1734
5,J,L,N/A
5,K,M,1648
5,L,M,N/A
5,M,N,1768
5,M,O,N/A
6,A,B,N/A
6,A,F,1945
6,B,C,N/A
6,C,A,N/A
6,D,E,2129
6,E,G,1914
6,F,D,1966
6,G,H,N/A
6,G,I,1720
6,I,J,1865
6,J,K,1813
6,J,L,N/A
6,K,M,1761
6,L,M,N/A
6,M,N,N/A
6,M,O,1506
7,A,B,N/A
7,A,F,1849
7,B,C,N/A
7,C,A,N/A
7,D,E,1988
7,E,G,1902
7,F,D,1893
7,G,H,1540
