case,start,end,timeSpread
0,A,B,1947
0,A,F,12954
0,B,C,1784
0,C,A,3731
0,D,E,1974
0,E,G,1876
0,F,D,1633
0,G,H,1691
0,G,I,N/A
0,I,J,N/A
0,J,K,N/A
0,J,L,N/A
0,K,M,N/A
0,L,M,N/A
0,M,N,N/A
0,M,O,N/A
1,A,B,N/A
1,A,F,1851
1,B,C,N/A
1,C,A,N/A
1,D,E,1718
1,E,G,1628
1,F,D,1758
1,G,H,N/A
1,G,I,1687
1,I,J,1822
1,J,K,N/A
1,J,L,2107
1,K,M,N/A
1,L,M,1808
1,M,N,N/A
1,M,O,2113
2,A,B,2007
2,A,F,7142
2,B,C,1679
2,C,A,3686
2,D,E,1423
2,E,G,2054
2,F,D,1904
2,G,H,2319
2,G,I,N/A
2,I,J,N/A
2,J,K,N/A
2,J,L,N/A
2,K,M,N/A
2,L,M,N/A
2,M,N,N/A
2,M,O,N/A
3,A,B,1783
3,A,F,12729
3,B,C,2049
3,C,A,3832
3,D,E,1671
3,E,G,1873
3,F,D,1811
3,G,H,N/A
3,G,I,1904
3,I,J,1699
3,J,K,N/A
3,J,L,1720
3,K,M,N/A
3,L,M,2075
3,M,N,N/A
3,M,O,1760
4,A,B,N/A
4,A,F,2051
4,B,C,N/A
4,C,A,N/A
4,D,E,1502
4,E,G,1559
4,F,D,1694
4,G,H,N/A
4,G,I,1768
4,I,J,1988
4,J,K,N/A
4,J,L,2038
4,K,M,N/A
4,L,M,1867
4,M,N,1802
4,M,O,N/A
5,A,B,N/A
5,A,F,1795
5,B,C,N/A
5,C,A,N/A
5,D,E,1624
5,E,G,1946
5,F,D,2019
5,G,H,1896
5,G,I,N/A
5,I,J,N/A
5,J,K,N/A
5,J,L,N/A
5,K,M,N/A
5,L,M,N/A
5,M,N,N/A
5,M,O,N/A
6,A,B,1418
6,A,F,6806
6,B,C,1882
6,C,A,3301
6,D,E,1625
6,E,G,1930
6,F,D,1890
6,G,H,N/A
6,G,I,1796
6,I,J,1614
6,J,K,N/A
6,J,L,2090
6,K,M,N/A
6,L,M,2055
6,M,N,1710
6,M,O,N/A
7,A,B,N/A
7,A,F,1491
7,B,C,N/A
7,C,A,N/A
7,D,E,1768
7,E,G,1821
7,F,D,1793
7,G,H,1749
7,G,I,N/A
7,I,J,N/A
7,J,K,N/A
7,J,L,N/A
7,K,M,N/A
7,L,M,N/A
7,M,N,N/A
7,M,O,N/A
8,A,B,N/A
8,A,F,1912
8,B,C,N/A
8,C,A,N/A
8,D,E,2011
8,E,G,1668
8,F,D,1758
8,G,H,N/A
8,G,I,1949
8,I,J,1413
8,J,K,N/A
8,J,L,1739
8,K,M,N/A
8,L,M,1862
8,M,N,1614
8,M,O,N/A
9,A,B,1760
9,A,F,7207
9,B,C,1582
9,C,A,3342
9,D,E,1836
9,E,G,1944
9,F,D,1940
9,G,H,N/A
9,G,I,1824
9,I,J,1717
9,J,K,1856
9,J,L,N/A
9,K,M,1979
9,L,M,N/A
9,M,N,N/A
9,M,O,2080
10,A,B,N/A
10,A,F,2325
10,B,C,N/A
10,C,A,N/A
10,D,E,2120
10,E,G,1949
10,F,D,1452
10,G,H,N/A
10,G,I,1603
10,I,J,1784
10,J,K,N/A
10,J,L,1723
10,K,M,N/A
10,L,M,1893
10,M,N,1653
10,M,O,N/A
11,A,B,N/A
11,A,F,1918
11,B,C,N/A
11,C,A,N/A
11,D,E,1856
11,E,G,1810
11,F,D,2194
11,G,H,N/A
11,G,I,1665
11,I,J,1929
11,J,K,N/A
11,J,L,2020
11,K,M,N/A
11,L,M,2043
11,M,N,N/A
11,M,O,1934
12,A,B,1705
12,A,F,11960
12,B,C,1724
12,C,A,3429
12,D,E,1897
12,E,G,2186
12,F,D,2204
12,G,H,1918
12,G,I,N/A
12,I,J,N/A
12,J,K,N/A
12,J,L,N/A
12,K,M,N/A
12,L,M,N/A
12,M,N,N/A
12,M,O,N/A
13,A,B,N/A
13,A,F,1247
13,B,C,N/A
13,C,A,N/A
13,D,E,1552
13,E,G,1733
13,F,D,1924
13,G,H,N/A
13,G,I,2073
13,I,J,2096
13,J,K,N/A
13,J,L,1816
13,K,M,N/A
13,L,M,1708
13,M,N,N/A
13,M,O,1948
14,A,B,N/A
14,A,F,1643
14,B,C,N/A
14,C,A,N/A
14,D,E,1712
14,E,G,1877
14,F,D,1908
14,G,H,N/A
14,G,I,2095
14,I,J,1881
14,J,K,2038
14,J,L,N/A
14,K,M,1755
14,L,M,N/A
14,M,N,N/A
14,M,O,2082
15,A,B,N/A
15,A,F,1723
15,B,C,N/A
15,C,A,N/A
15,D,E,1954
15,E,G,1760
15,F,D,1862
15,G,H,1776
15,G,I,N/A
15,I,J,N/A
15,J,K,N/A
15,J,L,N/A
15,K,M,N/A
15,L,M,N/A
15,M,N,N/A
15,M,O,N/A
16,A,B,1967
16,A,F,12988
16,B,C,2077
16,C,A,4044
16,D,E,1989
16,E,G,1617
16,F,D,1522
16,G,H,1481
16,G,I,N/A
16,I,J,N/A
16,J,K,N/A
16,J,L,N/A
16,K,M,N/A
16,L,M,N/A
16,M,N,N/A
16,M,O,N/A
17,A,B,1318
17,A,F,7252
17,B,C,2080
17,C,A,3398
17,D,E,1743
17,E,G,1506
17,F,D,1829
17,G,H,N/A
17,G,I,1656
