case,event,startTime,completeTime
0,A,2019/01/10 08:00:00.000,2019/01/10 08:00:00.000
1,A,2019/01/10 08:20:00.000,2019/01/10 08:20:00.000
0,B,2019/01/10 08:27:45.132,2019/01/10 08:27:45.132
2,A,2019/01/10 08:40:00.000,2019/01/10 08:40:00.000
1,F,2019/01/10 08:48:18.980,2019/01/10 08:48:18.980
0,C,2019/01/10 08:56:20.106,2019/01/10 08:56:20.106
3,A,2019/01/10 09:00:00.000,2019/01/10 09:00:00.000
2,B,2019/01/10 09:17:59.312,2019/01/10 09:17:59.312
4,A,2019/01/10 09:20:00.000,2019/01/10 09:20:00.000
1,D,2019/01/10 09:22:01.627,2019/01/10 09:22:01.627
0,A,2019/01/10 09:28:43.869,2019/01/10 09:28:43.869
3,F,2019/01/10 09:29:01.714,2019/01/10 09:29:01.714
5,A,2019/01/10 09:40:00.000,2019/01/10 09:40:00.000
4,B,2019/01/10 09:45:06.697,2019/01/10 09:45:06.697
1,E,2019/01/10 09:47:40.341,2019/01/10 09:47:40.341
2,C,2019/01/10 09:48:09.691,2019/01/10 09:48:09.691
6,A,2019/01/10 10:00:00.000,2019/01/10 10:00:00.000
3,D,2019/01/10 10:00:27.840,2019/01/10 10:00:27.840
0,F,2019/01/10 10:01:06.346,2019/01/10 10:01:06.346
4,C,2019/01/10 10:11:41.031,2019/01/10 10:11:41.031
5,B,2019/01/10 10:13:01.104,2019/01/10 10:13:01.104
2,A,2019/01/10 10:13:18.261,2019/01/10 10:13:18.261
7,A,2019/01/10 10:20:00.000,2019/01/10 10:20:00.000
1,G,2019/01/10 10:22:37.612,2019/01/10 10:22:37.612
0,D,2019/01/10 10:30:35.478,2019/01/10 10:30:35.478
6,F,2019/01/10 10:32:24.663,2019/01/10 10:32:24.663
4,A,2019/01/10 10:33:44.335,2019/01/10 10:33:44.335
3,E,2019/01/10 10:35:35.675,2019/01/10 10:35:35.675
5,C,2019/01/10 10:39:40.942,2019/01/10 10:39:40.942
8,A,2019/01/10 10:40:00.000,2019/01/10 10:40:00.000
2,B,2019/01/10 10:40:51.296,2019/01/10 10:40:51.296
7,F,2019/01/10 10:50:48.890,2019/01/10 10:50:48.890
1,I,2019/01/10 10:56:00.106,2019/01/10 10:56:00.106
3,G,2019/01/10 10:59:59.528,2019/01/10 10:59:59.528
9,A,2019/01/10 11:00:00.000,2019/01/10 11:00:00.000
0,E,2019/01/10 11:01:08.488,2019/01/10 11:01:08.488
6,D,2019/01/10 11:05:10.945,2019/01/10 11:05:10.945
4,F,2019/01/10 11:05:21.328,2019/01/10 11:05:21.328
8,B,2019/01/10 11:07:53.042,2019/01/10 11:07:53.042
5,A,2019/01/10 11:08:33.969,2019/01/10 11:08:33.969
2,C,2019/01/10 11:16:47.437,2019/01/10 11:16:47.437
10,A,2019/01/10 11:20:00.000,2019/01/10 11:20:00.000
7,D,2019/01/10 11:22:21.984,2019/01/10 11:22:21.984
1,J,2019/01/10 11:24:11.675,2019/01/10 11:24:11.675
9,F,2019/01/10 11:29:01.236,2019/01/10 11:29:01.236
3,H,2019/01/10 11:34:03.423,2019/01/10 11:34:03.423
4,D,2019/01/10 11:34:06.180,2019/01/10 11:34:06.180
0,G,2019/01/10 11:34:38.237,2019/01/10 11:34:38.237
5,F,2019/01/10 11:35:20.917,2019/01/10 11:35:20.917
8,C,2019/01/10 11:37:44.957,2019/01/10 11:37:44.957
11,A,2019/01/10 11:40:00.000,2019/01/10 11:40:00.000
6,E,2019/01/10 11:40:40.371,2019/01/10 11:40:40.371
2,A,2019/01/10 11:42:54.687,2019/01/10 11:42:54.687
10,F,2019/01/10 11:50:30.740,2019/01/10 11:50:30.740
7,E,2019/01/10 11:55:30.111,2019/01/10 11:55:30.111
1,L,2019/01/10 11:55:51.695,2019/01/10 11:55:51.695
0,H,2019/01/10 11:59:18.455,2019/01/10 11:59:18.455
12,A,2019/01/10 12:00:00.000,2019/01/10 12:00:00.000
4,E,2019/01/10 12:00:38.155,2019/01/10 12:00:38.155
9,D,2019/01/10 12:00:54.543,2019/01/10 12:00:54.543
5,D,2019/01/10 12:05:33.142,2019/01/10 12:05:33.142
11,B,2019/01/10 12:05:40.646,2019/01/10 12:05:40.646
8,A,2019/01/10 12:07:39.914,2019/01/10 12:07:39.914
2,B,2019/01/10 12:10:56.742,2019/01/10 12:10:56.742
6,G,2019/01/10 12:12:34.557,2019/01/10 12:12:34.557
10,D,2019/01/10 12:15:57.764,2019/01/10 12:15:57.764
13,A,2019/01/10 12:20:00.000,2019/01/10 12:20:00.000
7,G,2019/01/10 12:27:12.125,2019/01/10 12:27:12.125
1,M,2019/01/10 12:28:56.886,2019/01/10 12:28:56.886
4,G,2019/01/10 12:29:24.921,2019/01/10 12:29:24.921
9,E,2019/01/10 12:30:32.632,2019/01/10 12:30:32.632
11,C,2019/01/10 12:31:11.607,2019/01/10 12:31:11.607
12,F,2019/01/10 12:33:47.135,2019/01/10 12:33:47.135
5,E,2019/01/10 12:35:39.588,2019/01/10 12:35:39.588
8,B,2019/01/10 12:37:31.387,2019/01/10 12:37:31.387
14,A,2019/01/10 12:40:00.000,2019/01/10 12:40:00.000
2,C,2019/01/10 12:41:03.994,2019/01/10 12:41:03.994
6,I,2019/01/10 12:41:14.633,2019/01/10 12:41:14.633
10,E,2019/01/10 12:44:37.387,2019/01/10 12:44:37.387
13,F,2019/01/10 12:52:13.372,2019/01/10 12:52:13.372
7,H,2019/01/10 12:52:52.574,2019/01/10 12:52:52.574
4,I,2019/01/10 12:56:15.254,2019/01/10 12:56:15.254
15,A,2019/01/10 13:00:00.000,2019/01/10 13:00:00.000
11,A,2019/01/10 13:00:52.407,2019/01/10 13:00:52.407
9,G,2019/01/10 13:00:53.835,2019/01/10 13:00:53.835
1,O,2019/01/10 13:01:41.261,2019/01/10 13:01:41.261
12,D,2019/01/10 13:04:04.629,2019/01/10 13:04:04.629
8,C,2019/01/10 13:04:54.907,2019/01/10 13:04:54.907
5,G,2019/01/10 13:05:33.334,2019/01/10 13:05:33.334
14,F,2019/01/10 13:06:28.759,2019/01/10 13:06:28.759
2,A,2019/01/10 13:09:34.122,2019/01/10 13:09:34.122
6,J,2019/01/10 13:12:19.825,2019/01/10 13:12:19.825
10,G,2019/01/10 13:15:58.193,2019/01/10 13:15:58.193
16,A,2019/01/10 13:20:00.000,2019/01/10 13:20:00.000
13,D,2019/01/10 13:20:43.592,2019/01/10 13:20:43.592
4,J,2019/01/10 13:24:54.282,2019/01/10 13:24:54.282
15,F,2019/01/10 13:28:00.242,2019/01/10 13:28:00.242
8,A,2019/01/10 13:30:27.934,2019/01/10 13:30:27.934
12,E,2019/01/10 13:31:56.576,2019/01/10 13:31:56.576
2,B,2019/01/10 13:32:59.572,2019/01/10 13:32:59.572
11,F,2019/01/10 13:33:15.239,2019/01/10 13:33:15.239
9,H,2019/01/10 13:33:21.966,2019/01/10 13:33:21.966
5,I,2019/01/10 13:34:39.360,2019/01/10 13:34:39.360
14,D,2019/01/10 13:39:34.249,2019/01/10 13:39:34.249
17,A,2019/01/10 13:40:00.000,2019/01/10 13:40:00.000
6,K,2019/01/10 13:42:32.996,2019/01/10 13:42:32.996
10,H,2019/01/10 13:46:25.166,2019/01/10 13:46:25.166
13,E,2019/01/10 13:50:42.425,2019/01/10 13:50:42.425
16,F,2019/01/10 13:53:57.971,2019/01/10 13:53:57.971
4,L,2019/01/10 13:56:15.809,2019/01/10 13:56:15.809
15,D,2019/01/10 13:58:59.025,2019/01/10 13:58:59.025
18,A,2019/01/10 14:00:00.000,2019/01/10 14:00:00.000
12,G,2019/01/10 14:00:45.587,2019/01/10 14:00:45.587
8,F,2019/01/10 14:00:57.031,2019/01/10 14:00:57.031
5,J,2019/01/10 14:02:20.662,2019/01/10 14:02:20.662
2,C,2019/01/10 14:03:20.623,2019/01/10 14:03:20.623
11,D,2019/01/10 14:05:54.873,2019/01/10 14:05:54.873
14,E,2019/01/10 14:07:38.027,2019/01/10 14:07:38.027
6,M,2019/01/10 14:11:53.570,2019/01/10 14:11:53.570
17,B,2019/01/10 14:14:49.670,2019/01/10 14:14:49.670
19,A,2019/01/10 14:20:00.000,2019/01/10 14:20:00.000
16,D,2019/01/10 14:20:27.967,2019/01/10 14:20:27.967
13,G,2019/01/10 14:21:11.507,2019/01/10 14:21:11.507
4,M,2019/01/10 14:23:03.445,2019/01/10 14:23:03.445
15,E,2019/01/10 14:27:11.306,2019/01/10 14:27:11.306
12,H,2019/01/10 14:28:04.259,2019/01/10 14:28:04.259
8,D,2019/01/10 14:28:59.261,2019/01/10 14:28:59.261
18,F,2019/01/10 14:29:03.547,2019/01/10 14:29:03.547
2,A,2019/01/10 14:30:58.442,2019/01/10 14:30:58.442
5,K,2019/01/10 14:31:14.219,2019/01/10 14:31:14.219
11,E,2019/01/10 14:35:22.898,2019/01/10 14:35:22.898
6,O,2019/01/10 14:36:59.427,2019/01/10 14:36:59.427
14,G,2019/01/10 14:38:10.302,2019/01/10 14:38:10.302
20,A,2019/01/10 14:40:00.000,2019/01/10 14:40:00.000
17,C,2019/01/10 14:41:28.137,2019/01/10 14:41:28.137
19,F,2019/01/10 14:45:25.242,2019/01/10 14:45:25.242
16,E,2019/01/10 14:45:32.782,2019/01/10 14:45:32.782
13,I,2019/01/10 14:53:54.645,2019/01/10 14:53:54.645
4,N,2019/01/10 14:55:05.191,2019/01/10 14:55:05.191
15,G,2019/01/10 14:57:28.810,2019/01/10 14:57:28.810
8,E,2019/01/10 14:58:21.615,2019/01/10 14:58:21.615
5,M,2019/01/10 14:58:41.982,2019/01/10 14:58:41.982
18,D,2019/01/10 14:59:49.993,2019/01/10 14:59:49.993
2,F,2019/01/10 14:59:54.216,2019/01/10 14:59:54.216
21,A,2019/01/10 15:00:00.000,2019/01/10 15:00:00.000
20,B,2019/01/10 15:04:18.751,2019/01/10 15:04:18.751
11,G,2019/01/10 15:06:26.013,2019/01/10 15:06:26.013
14,I,2019/01/10 15:07:38.797,2019/01/10 15:07:38.797
16,G,2019/01/10 15:08:58.019,2019/01/10 15:08:58.019
17,A,2019/01/10 15:13:33.493,2019/01/10 15:13:33.493
19,D,2019/01/10 15:19:25.995,2019/01/10 15:19:25.995
22,A,2019/01/10 15:20:00.000,2019/01/10 15:20:00.000
13,J,2019/01/10 15:23:33.574,2019/01/10 15:23:33.574
18,E,2019/01/10 15:26:16.951,2019/01/10 15:26:16.951
8,G,2019/01/10 15:27:40.053,2019/01/10 15:27:40.053
5,N,2019/01/10 15:28:09.884,2019/01/10 15:28:09.884
21,F,2019/01/10 15:30:22.781,2019/01/10 15:30:22.781
20,C,2019/01/10 15:31:17.307,2019/01/10 15:31:17.307
2,D,2019/01/10 15:31:47.454,2019/01/10 15:31:47.454
15,H,2019/01/10 15:32:17.942,2019/01/10 15:32:17.942
11,H,2019/01/10 15:35:26.728,2019/01/10 15:35:26.728
14,J,2019/01/10 15:35:54.849,2019/01/10 15:35:54.849
23,A,2019/01/10 15:40:00.000,2019/01/10 15:40:00.000
16,I,2019/01/10 15:40:20.274,2019/01/10 15:40:20.274
17,F,2019/01/10 15:44:07.483,2019/01/10 15:44:07.483
19,E,2019/01/10 15:48:40.655,2019/01/10 15:48:40.655
22,F,2019/01/10 15:54:12.034,2019/01/10 15:54:12.034
13,L,2019/01/10 15:55:42.681,2019/01/10 15:55:42.681
2,E,2019/01/10 15:59:40.396,2019/01/10 15:59:40.396
24,A,2019/01/10 16:00:00.000,2019/01/10 16:00:00.000
18,G,2019/01/10 16:00:06.356,2019/01/10 16:00:06.356
21,D,2019/01/10 16:01:34.646,2019/01/10 16:01:34.646
8,I,2019/01/10 16:04:31.292,2019/01/10 16:04:31.292
20,A,2019/01/10 16:06:23.318,2019/01/10 16:06:23.318
14,L,2019/01/10 16:06:33.081,2019/01/10 16:06:33.081
23,B,2019/01/10 16:10:00.499,2019/01/10 16:10:00.499
16,J,2019/01/10 16:10:33.969,2019/01/10 16:10:33.969
17,D,2019/01/10 16:13:17.689,2019/01/10 16:13:17.689
19,G,2019/01/10 16:18:52.180,2019/01/10 16:18:52.180
13,M,2019/01/10 16:19:49.444,2019/01/10 16:19:49.444
25,A,2019/01/10 16:20:00.000,2019/01/10 16:20:00.000
22,D,2019/01/10 16:25:56.181,2019/01/10 16:25:56.181
24,F,2019/01/10 16:27:15.495,2019/01/10 16:27:15.495
2,G,2019/01/10 16:30:14.252,2019/01/10 16:30:14.252
18,H,2019/01/10 16:30:53.623,2019/01/10 16:30:53.623
20,B,2019/01/10 16:34:20.359,2019/01/10 16:34:20.359
21,E,2019/01/10 16:35:17.992,2019/01/10 16:35:17.992
8,J,2019/01/10 16:36:09.101,2019/01/10 16:36:09.101
14,M,2019/01/10 16:39:40.433,2019/01/10 16:39:40.433
26,A,2019/01/10 16:40:00.000,2019/01/10 16:40:00.000
17,E,2019/01/10 16:43:30.606,2019/01/10 16:43:30.606
16,L,2019/01/10 16:43:55.841,2019/01/10 16:43:55.841
23,C,2019/01/10 16:45:30.630,2019/01/10 16:45:30.630
25,F,2019/01/10 16:49:04.783,2019/01/10 16:49:04.783
13,O,2019/01/10 16:51:18.811,2019/01/10 16:51:18.811
19,H,2019/01/10 16:51:41.576,2019/01/10 16:51:41.576
22,E,2019/01/10 16:52:24.316,2019/01/10 16:52:24.316
2,I,2019/01/10 16:53:22.279,2019/01/10 16:53:22.279
24,D,2019/01/10 16:54:47.674,2019/01/10 16:54:47.674
27,A,2019/01/10 17:00:00.000,2019/01/10 17:00:00.000
20,C,2019/01/10 17:01:22.180,2019/01/10 17:01:22.180
8,K,2019/01/10 17:03:35.364,2019/01/10 17:03:35.364
21,G,2019/01/10 17:05:12.283,2019/01/10 17:05:12.283
26,B,2019/01/10 17:08:06.019,2019/01/10 17:08:06.019
